Unnamed: 0,1_상진운수종점(가상),2_석관고등학교후문,3_석계역,4_석계역1번출구,5_물류센터,6_월계현대아파트,7_광운대역,8_월계삼거리,9_광운대학교,10_광운전자공업고등학교,11_벼루말교,12_장위래미안아파트,13_꿈의숲아이파크아파트,14_장곡초교사거리,15_하나은행장위동지점,16_장위동원천주유소,17_장위2동주민센터,18_돌곶이역,19_석관시장,20_석관동새마을금고,21_한국예술종합학교,22_의릉입구,23_이문동우체국,24_외대앞,25_경희중고,26_회기시장,27_회기동현대아파트,28_떡전교사거리.동대문노인복지관,29_청량리미주아파트.동대문세무서,30_청량리역환승센타,31_청량리.청과물도매시장,32_제기동역.서울약령시,33_용두동사거리.한국의류시험연구원,34_신설동역,35_동묘앞,36_동대문(흥인지문),37_종로중부새마을금고,38_동대문역사문화공원,39_을지로6가.국립중앙의료원,40_을지로5가,41_을지로4가,42_을지로3가,43_을지로2가.기업은행본점.서울노동청,44_롯데백화점,45_북창동.남대문시장,46_염천교,47_중림동교차로,48_서울의료보건고등학교.서울역서부,49_손기정체육공원입구,50_만리동고개,51_한겨레신문사,52_신덕성결교회,53_공덕역.공덕시장,54_마포역,55_여의도순복음교회,56_여의도공원,57_여의나루역,58_여의도중학교,59_63빌딩.가톨릭대학교여의도성모병원,60_여의동주민센터,61_KBS별관,62_샛강역1번출구.여의도자이,63_여의도역,64_여의도환승센터,65_유진투자증권.파이낸셜뉴스신문,66_하나은행여의도지점,67_여의동주민센터,68_63빌딩.가톨릭대학교여의도성모병원,69_여의도중학교,70_여의나루역,71_마포역,72_공덕시장,73_신덕성결교회,74_한겨레신문사,75_만리동고개,76_손기정체육공원,77_서울역서부,78_서울역버스환승센터,79_숭례문,80_남대문시장앞.이회영활동터,81_롯데영프라자,82_을지로입구.로얄호텔,83_을지로2가.파인에빈뉴,84_을지로3가,85_을지로4가.베스트웨스턴국도,86_을지로5가.중부시장,87_을지로6가.국립중앙의료원,88_동대문역사문화공원,89_동대문역.흥인지문,90_동묘앞,91_신설동역,92_용두동사거리,93_제기동역.서울약령시,94_청량리수산시장,95_청량리역환승센터,96_서울성심병원,97_우산빌딩앞,98_회기시장,99_경희중고,100_외대앞,101_이문동교회,102_의릉입구,103_한국예술종합학교,104_석관동새마을금고,105_석관시장,106_돌곶이역,107_장위동원천주유소,108_하나은행장위동지점,109_장곡초교사거리,110_꿈의숲아이파크아파트,111_장위래미안아파트,112_벼루말교,113_광운중학교,114_광운대학교,115_월계삼거리,116_광운대역,117_월계현대아파트,118_물류센터,119_석계역,120_상진운수종점,10_광운중.광운인공지능고등학교,113_광운중.광운인공지능고등학교
2022-03-05 04:00:00,0,1,1,2,4,1,2,3,0,4.0,3,3,2,0,4,5,4,6,8,6,11,13,4,14,11,12,13,6,8,13,10,7,12,7,11,11,7,20,21,12,19,7,13,8,6,0,5,3,4,4,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-05 05:00:00,0,0,4,5,0,2,4,3,2,0.0,2,2,3,4,5,6,5,4,3,5,7,1,6,7,3,6,7,8,7,8,9,7,8,10,8,10,10,11,12,11,10,9,4,3,5,0,4,3,1,6,5,4,6,4,2,1,3,2,2,1,0,0,2,4,5,4,2,1,0,1,3,0,2,3,4,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-05 06:00:00,0,0,0,0,0,0,2,0,2,2.0,3,4,3,5,4,6,4,1,6,0,7,6,4,8,4,5,7,10,9,11,12,10,6,9,11,13,10,11,11,9,8,9,8,5,3,4,0,0,3,5,5,3,3,4,3,4,5,3,3,3,3,2,2,4,2,0,3,2,1,2,2,5,3,4,7,6,4,7,5,6,7,6,2,5,4,3,2,4,4,5,3,4,4,2,4,0,2,3,0,3,2,0,3,2,1,1,0,0,0,0,2,1,0.0,0,1,0,0,0,0,0,,
2022-03-05 07:00:00,0,0,1,2,0,3,2,4,2,0.0,1,5,5,7,12,12,9,10,13,13,15,14,15,14,10,12,13,11,12,12,10,11,10,9,11,9,8,8,8,5,4,3,7,4,6,7,6,6,7,8,9,5,6,4,2,2,6,2,2,1,2,1,3,3,2,2,1,6,4,3,4,5,6,8,9,11,10,6,4,8,7,6,8,9,0,3,5,7,5,4,7,6,4,3,5,6,3,0,2,0,2,3,3,3,3,4,1,3,1,1,2,3,0.0,2,3,4,3,1,1,0,,
2022-03-05 08:00:00,0,1,1,4,2,3,5,4,4,5.0,7,9,11,10,12,11,7,8,12,15,18,19,23,24,23,22,25,22,14,20,18,18,17,16,15,13,12,11,11,10,10,8,7,5,5,7,5,4,4,9,11,11,5,7,3,6,6,5,4,6,5,4,4,6,5,6,4,5,3,4,4,5,5,6,9,10,6,8,7,6,5,4,8,3,8,6,0,5,4,5,4,3,3,2,2,5,4,5,3,3,4,4,5,6,8,4,3,5,8,10,12,12,9.0,8,8,10,10,3,4,0,,
2022-03-05 09:00:00,0,1,0,3,4,3,5,8,7,2.0,7,8,13,14,16,18,17,21,21,20,22,23,20,25,23,23,17,22,22,21,18,21,20,18,13,17,15,13,11,10,10,9,8,8,7,6,2,7,6,8,14,12,8,7,6,3,9,7,8,10,9,10,5,6,7,6,6,5,0,2,6,14,15,21,22,23,22,16,14,12,7,6,8,7,7,6,1,5,3,5,8,8,6,6,7,7,7,8,2,7,4,5,10,9,7,6,7,4,6,6,7,6,0.0,7,6,6,7,5,0,0,,
2022-03-05 10:00:00,1,1,0,6,8,8,9,10,12,2.0,0,9,12,11,13,15,10,10,12,13,14,17,18,20,21,21,23,22,19,24,25,26,26,24,24,22,13,21,18,18,9,17,14,11,8,6,8,9,7,10,14,14,8,7,4,0,6,5,6,9,10,8,5,9,9,5,7,5,6,6,12,13,14,15,17,19,17,16,10,12,8,8,10,6,11,10,6,11,10,8,10,6,7,8,6,7,6,6,5,4,4,4,7,5,4,5,2,1,6,6,5,7,8.0,8,8,8,6,2,1,0,,
2022-03-05 11:00:00,2,4,3,6,8,8,7,8,8,7.0,7,10,14,15,14,14,12,12,10,15,16,16,16,20,19,19,21,17,20,18,17,20,18,17,19,20,19,16,18,13,16,14,16,13,12,11,11,12,11,14,21,20,11,9,7,7,12,8,9,10,11,10,9,7,6,5,8,9,10,9,16,24,26,25,23,21,18,15,16,11,14,15,16,15,14,12,13,13,10,9,14,9,10,12,11,9,13,14,10,11,12,10,9,9,7,7,5,4,6,3,8,9,9.0,10,9,6,7,5,1,0,,
2022-03-05 12:00:00,2,0,5,10,10,10,11,12,8,8.0,11,11,15,14,15,17,14,14,15,15,18,19,21,29,30,30,29,30,28,23,20,18,19,18,18,17,18,15,16,15,12,11,12,13,11,10,6,12,13,18,20,18,13,9,7,8,8,6,8,12,11,9,6,10,9,6,5,9,7,8,8,15,19,24,23,21,20,18,18,15,14,12,15,16,16,16,16,20,18,19,11,13,13,13,15,12,14,20,18,17,16,10,12,10,10,8,5,5,6,12,13,13,12.0,14,12,11,13,4,2,0,,
2022-03-05 13:00:00,0,3,2,6,6,7,6,8,10,11.0,10,12,15,17,17,21,20,20,21,24,25,29,28,33,27,23,27,27,25,18,21,20,19,20,18,20,16,14,18,17,16,15,14,18,19,16,16,14,15,13,17,13,10,9,8,2,12,11,9,13,12,10,9,10,8,11,8,7,9,10,13,13,9,12,19,19,19,16,14,18,17,18,21,20,20,15,14,14,17,16,15,17,15,16,18,22,21,16,14,13,11,11,11,8,10,12,11,10,12,13,8,9,8.0,10,10,7,4,2,1,0,,
2022-03-05 14:00:00,0,1,4,10,9,9,8,6,6,6.0,7,9,13,15,21,20,15,14,15,14,15,15,18,26,25,26,20,25,22,26,25,27,27,25,21,21,24,19,17,18,18,18,18,16,19,20,22,20,18,20,21,23,19,15,12,5,10,7,6,13,9,8,8,7,6,12,9,12,11,11,13,15,16,16,17,18,20,17,16,20,16,14,18,15,17,18,17,16,18,17,17,15,13,17,22,20,21,17,14,12,11,9,13,10,12,10,9,7,6,6,6,14,13.0,14,13,8,12,6,7,0,,
2022-03-05 15:00:00,0,1,0,5,6,8,7,8,9,6.0,7,8,8,12,14,15,11,14,15,11,13,20,13,25,23,28,26,27,25,28,26,25,22,20,20,22,22,27,23,21,22,22,20,30,29,29,25,25,23,18,15,16,13,10,10,9,12,10,17,20,16,15,12,11,11,11,8,11,16,13,10,22,23,20,26,23,20,15,14,21,19,20,23,22,24,23,22,22,18,22,24,25,25,25,27,32,29,24,20,20,18,15,14,12,10,18,13,11,7,5,6,7,7.0,9,7,5,7,5,4,0,,
2022-03-05 16:00:00,0,1,1,5,4,4,4,6,8,9.0,10,9,8,11,13,13,8,10,17,18,20,27,29,25,23,26,26,25,22,24,24,20,22,18,17,16,14,18,21,20,16,19,16,17,21,22,21,21,18,15,14,12,11,8,10,9,11,9,17,20,19,20,19,11,9,11,9,12,11,17,12,16,17,19,18,15,19,11,6,13,17,18,20,21,21,24,24,27,25,24,26,26,28,33,34,35,35,29,24,22,13,18,19,17,15,13,5,10,9,8,10,4,7.0,9,10,11,11,8,1,0,,
2022-03-05 17:00:00,2,0,2,8,1,8,8,10,9,7.0,9,9,11,12,5,13,10,16,14,12,11,13,15,22,21,22,23,21,17,22,20,19,16,15,13,13,13,14,16,17,11,16,21,29,31,34,32,26,23,20,16,14,10,10,8,0,12,14,11,24,23,21,14,14,11,9,9,16,13,13,15,18,15,14,13,14,13,10,8,17,29,29,28,28,30,32,32,32,26,31,29,27,27,24,30,31,25,28,26,21,20,17,11,12,14,21,18,14,12,10,10,11,13.0,15,10,7,7,2,0,0,,
2022-03-05 18:00:00,0,0,1,5,6,3,7,7,8,5.0,7,7,10,9,8,11,9,8,9,8,10,13,6,14,12,16,9,13,12,8,10,10,11,10,7,14,15,17,15,14,15,15,15,14,14,19,19,21,17,12,9,0,13,7,8,5,11,8,10,9,16,12,8,6,5,7,9,12,13,18,18,19,20,20,18,19,17,10,8,10,12,10,13,14,14,13,20,21,18,19,20,24,23,23,20,21,19,14,13,12,14,16,13,10,18,27,23,18,14,14,11,9,8.0,8,6,7,5,2,2,0,,
2022-03-05 19:00:00,1,0,0,6,9,6,8,6,8,3.0,8,4,4,4,4,0,2,4,2,3,3,4,5,5,6,6,4,7,5,6,7,6,0,4,7,7,0,9,6,5,0,7,7,13,14,14,13,14,13,15,17,13,11,9,11,8,4,6,13,3,9,7,4,6,7,3,5,10,9,6,8,9,7,7,7,7,8,7,7,6,9,12,14,12,13,14,14,20,19,20,19,19,18,20,24,17,17,17,19,18,16,16,16,14,12,19,16,10,11,8,8,7,5.0,7,7,9,6,4,2,0,,
2022-03-05 20:00:00,0,0,2,6,6,4,3,4,4,4.0,3,3,2,3,5,5,3,4,2,4,5,6,0,6,5,6,8,9,8,8,9,9,11,12,7,10,7,7,8,9,8,6,7,8,10,10,11,15,10,8,7,6,4,3,2,3,4,1,3,4,2,1,6,7,4,6,6,10,8,12,10,14,12,15,14,15,9,8,8,6,8,11,13,16,16,15,14,19,17,15,18,16,18,18,20,26,28,30,24,20,18,14,13,9,12,14,12,9,7,8,9,3,6.0,7,6,5,6,4,0,0,,
2022-03-05 21:00:00,0,0,1,4,2,5,3,6,5,1.0,4,4,3,0,4,3,2,9,7,4,4,9,1,10,9,12,12,14,9,11,4,6,0,7,11,0,8,11,12,11,9,12,12,14,6,0,15,13,7,8,8,2,4,5,3,2,2,0,5,7,5,6,7,6,2,4,2,11,7,9,11,15,13,12,10,6,8,5,0,6,8,9,12,18,19,10,16,17,16,19,15,18,14,17,17,18,19,19,17,15,14,12,10,0,8,11,8,7,4,4,7,0,6.0,6,4,5,3,2,2,0,,
2022-03-05 22:00:00,1,0,3,6,3,4,5,4,5,4.0,3,3,2,1,2,0,0,5,0,4,3,1,2,5,1,8,7,5,3,4,2,5,0,3,4,5,2,6,4,7,6,7,9,9,10,7,6,9,10,9,9,10,4,3,5,3,3,2,7,3,6,3,2,7,9,5,8,14,13,11,13,12,11,13,12,9,2,7,8,5,8,5,9,10,11,12,21,22,20,21,4,0,20,19,18,17,15,20,17,13,12,8,6,6,7,15,10,7,5,4,2,3,2.0,2,2,2,1,0,1,0,,
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,2,1,3,2,5,0,7,3,8,0,0,7,14,12,8,7,2,7,4,0,1,3,1,1,0,3,2,3,4,0,5,3,3,0,2,3,9,8,6,6,4,6,6,2,0,7,8,9,14,10,12,12,13,14,12,14,15,14,11,15,11,13,11,9,9,13,11,11,10,10,14,13,9,7,6,6,2,4.0,4,3,2,0,1,0,0,,
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-06 04:00:00,0,1,0,1,2,0,0,1,2,0.0,1,0,1,1,0,0,1,2,2,2,3,0,2,3,0,2,3,3,0,4,4,0,3,5,3,4,0,3,3,0,2,1,2,0,0,0,0,1,2,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-06 05:00:00,0,0,2,0,0,1,2,1,2,0.0,1,2,3,5,6,5,4,1,1,2,3,2,4,5,1,2,0,3,4,5,4,0,3,3,4,0,5,2,4,0,3,2,1,2,2,0,0,1,0,3,4,1,1,8,3,0,3,0,4,0,0,1,3,6,3,6,4,3,4,2,2,0,0,3,7,0,6,2,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-06 06:00:00,1,0,0,1,0,2,4,0,1,3.0,2,3,4,5,3,4,3,3,4,3,1,2,3,2,2,1,0,6,0,9,9,10,4,10,9,8,4,6,5,4,1,3,2,2,4,0,0,3,4,7,5,2,8,9,2,1,6,1,1,3,2,0,2,3,0,1,1,1,0,3,2,2,0,4,3,4,0,3,4,3,3,4,2,0,1,3,3,4,2,3,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0,0,0,1,0,0,0,,
2022-03-06 07:00:00,0,0,0,2,0,0,3,2,1,1.0,0,3,4,4,5,5,4,4,2,3,7,6,4,8,3,3,4,3,3,3,5,0,3,4,5,9,10,6,9,5,3,10,9,10,0,4,0,4,9,10,0,5,7,9,1,3,3,0,2,2,3,1,0,0,1,0,0,4,0,1,3,4,1,3,4,2,0,3,3,2,2,0,3,0,0,3,4,0,3,3,0,1,2,1,3,1,0,0,0,2,2,2,3,2,3,4,2,1,2,2,3,0,2.0,0,2,1,2,0,0,0,,
2022-03-06 08:00:00,1,2,0,0,1,3,3,4,5,6.0,7,10,10,0,7,13,12,12,10,7,10,7,12,15,10,15,12,10,9,10,11,9,10,11,13,12,11,9,4,8,6,7,4,7,6,6,2,3,3,8,8,10,9,10,6,3,11,0,3,4,3,3,4,3,0,0,3,2,2,3,5,5,6,10,7,7,4,5,0,0,3,3,4,0,0,3,2,2,5,3,4,3,3,2,4,3,1,4,4,3,2,4,4,2,3,3,1,0,4,3,7,7,7.0,3,2,1,1,0,0,0,,
2022-03-06 09:00:00,0,0,0,3,4,4,3,3,4,6.0,7,2,6,7,11,10,9,7,5,6,8,8,9,11,11,12,13,13,14,15,16,15,13,13,13,11,11,9,7,8,8,5,4,7,5,3,6,5,8,12,12,11,11,12,6,4,7,6,4,4,3,3,4,3,2,1,0,3,3,5,5,8,4,9,17,16,13,7,6,8,6,5,5,3,0,4,4,2,2,0,2,2,5,6,8,6,5,7,6,6,6,7,6,7,6,4,2,3,2,3,3,4,0.0,3,4,2,3,1,1,0,,
2022-03-06 10:00:00,0,0,1,3,4,0,3,3,3,5.0,1,6,8,9,6,11,4,8,9,8,11,10,12,15,17,14,10,11,15,15,13,14,11,11,12,8,7,12,11,10,4,7,5,4,4,5,7,8,9,21,24,25,28,31,6,1,11,9,5,6,5,3,4,8,6,5,6,4,1,4,6,10,11,17,26,29,26,11,10,9,7,4,9,6,0,8,7,6,10,13,12,14,11,6,8,11,11,11,8,13,2,9,6,9,8,8,6,5,5,3,5,6,6.0,7,5,6,7,6,2,0,,
2022-03-06 11:00:00,2,2,0,4,5,5,6,8,7,6.0,7,11,13,12,10,13,13,12,14,16,18,20,19,24,20,25,26,27,26,22,24,26,23,18,20,14,12,12,8,10,11,11,12,14,14,4,6,15,14,13,15,14,13,14,6,5,8,7,7,10,9,9,5,3,0,2,2,2,4,6,8,8,7,9,15,15,12,17,15,12,10,8,10,9,6,8,8,13,11,12,10,11,9,7,7,8,10,13,16,11,10,8,9,8,6,4,3,2,3,0,4,3,3.0,3,4,4,4,3,0,0,,
2022-03-06 12:00:00,0,1,1,7,9,6,6,7,10,11.0,12,9,10,9,10,13,11,8,9,11,13,16,18,23,24,26,36,20,20,18,20,21,20,19,21,20,20,18,17,20,19,23,20,15,13,10,9,15,17,16,17,14,11,12,5,1,6,6,11,14,13,10,10,10,5,4,4,7,6,6,9,10,11,15,19,20,19,11,9,10,7,8,12,11,11,13,14,14,13,12,11,9,11,10,13,13,14,12,12,13,13,14,12,10,7,6,5,7,7,12,14,16,5.0,6,6,4,8,4,1,0,,
2022-03-06 13:00:00,1,0,1,6,5,4,7,5,4,2.0,5,9,11,10,12,12,11,14,18,17,22,23,27,27,28,32,35,34,32,30,35,36,20,34,29,27,23,21,20,17,17,18,22,23,24,15,14,21,20,20,19,18,14,15,11,8,8,7,10,10,10,7,6,8,6,7,5,8,4,5,8,11,13,15,22,23,24,23,23,24,15,17,18,15,16,19,19,19,20,17,18,17,14,14,11,11,10,11,9,7,10,6,11,9,10,14,12,11,7,5,6,6,6.0,12,3,8,7,5,1,0,,
2022-03-06 14:00:00,1,2,3,5,4,0,6,5,5,5.0,6,8,9,9,11,10,10,12,15,14,16,18,18,24,13,28,31,27,27,23,23,17,18,22,22,20,17,17,18,18,12,16,10,13,15,17,16,15,16,17,19,16,11,14,6,4,8,7,6,7,8,9,10,7,11,12,7,9,8,4,18,23,26,27,36,33,34,30,11,22,20,21,23,25,24,23,23,22,13,12,13,12,13,14,17,16,16,15,7,12,9,10,12,12,8,15,13,8,11,7,9,6,9.0,8,5,3,5,4,0,0,,
2022-03-06 15:00:00,0,0,1,2,3,2,4,5,5,7.0,9,11,13,15,17,20,18,14,10,8,10,11,11,12,12,15,15,16,14,13,19,11,12,15,15,13,15,9,17,13,12,12,15,18,20,22,21,17,17,14,13,12,7,11,9,4,6,3,5,9,7,5,4,8,11,6,11,11,10,11,9,13,6,11,14,15,14,11,10,17,19,17,17,16,9,12,18,16,18,21,21,19,15,16,19,19,20,20,19,19,9,18,15,12,7,13,12,10,9,7,6,5,2.0,8,7,7,3,1,0,0,,
2022-03-06 16:00:00,1,2,0,4,3,2,5,4,3,2.0,1,3,3,4,9,10,9,8,14,12,13,18,17,18,19,16,14,13,11,9,8,9,10,18,9,12,0,18,21,17,17,18,14,26,27,17,23,21,16,14,13,12,10,6,6,6,5,2,10,10,11,10,10,9,10,11,7,9,6,11,12,14,17,16,16,10,12,9,0,7,10,8,13,10,14,15,19,24,22,28,30,29,29,29,34,36,34,27,23,19,15,17,13,11,12,14,12,6,8,5,7,7,6.0,7,7,5,4,3,1,0,,
2022-03-06 17:00:00,0,1,1,4,8,9,6,8,7,7.0,8,9,9,10,11,9,10,10,9,11,15,17,18,14,13,12,13,14,13,10,14,13,13,10,10,12,9,9,14,18,19,18,15,20,22,7,19,23,14,20,22,20,12,5,5,6,7,6,9,4,7,6,5,6,5,7,4,8,10,8,10,16,17,18,12,10,7,6,12,12,9,8,9,10,11,8,13,16,20,24,15,21,17,17,24,35,30,28,25,22,20,19,16,15,11,17,10,3,9,6,5,3,2.0,4,3,5,4,3,1,0,,
2022-03-06 18:00:00,0,0,2,4,3,2,5,4,3,0.0,0,5,4,2,6,5,3,5,7,7,8,11,7,9,11,9,12,0,9,6,7,9,8,5,7,9,9,10,10,9,9,9,7,14,10,15,9,16,14,11,12,10,9,6,5,8,5,7,10,11,8,9,8,5,7,7,8,7,7,13,14,17,16,16,11,10,7,7,8,9,10,13,14,17,19,20,24,27,18,24,29,30,25,25,29,28,24,21,20,18,10,14,13,11,9,14,11,16,14,6,7,4,8.0,6,6,5,4,3,1,0,,
2022-03-06 19:00:00,1,0,1,5,0,2,2,8,3,6.0,3,4,2,3,4,2,3,4,5,3,6,7,12,11,12,14,14,4,0,12,11,6,0,12,13,8,0,9,11,6,13,8,12,19,11,12,9,12,16,13,11,10,10,7,5,4,3,1,7,10,1,7,2,3,6,5,3,10,11,10,12,23,21,18,15,13,10,5,3,5,9,10,11,11,13,12,16,17,18,19,18,17,17,18,25,24,25,22,20,19,17,15,10,6,6,10,6,5,5,3,6,2,5.0,7,7,6,1,4,0,0,,
2022-03-06 20:00:00,0,0,1,3,3,4,4,6,6,3.0,0,4,3,3,3,2,2,10,1,12,10,10,10,10,8,7,6,6,5,6,5,5,6,6,0,6,4,7,5,8,7,5,5,10,11,6,7,8,7,6,6,5,4,4,2,2,3,3,5,5,4,4,3,6,9,11,2,12,8,7,9,17,16,18,9,8,6,6,5,6,7,8,11,13,11,10,15,20,19,19,11,19,10,8,21,20,19,21,19,21,13,10,9,8,8,10,9,8,6,4,4,5,3.0,7,5,3,3,0,0,0,,
2022-03-06 21:00:00,0,0,1,2,3,3,2,3,3,1.0,2,3,3,2,4,5,4,5,6,5,3,3,2,5,5,8,4,7,2,7,5,4,4,6,6,5,0,7,6,5,0,6,8,6,10,6,4,13,12,7,6,3,2,3,0,0,2,0,4,5,5,4,5,7,5,2,6,9,13,15,17,18,17,15,13,11,7,4,0,5,4,8,11,12,13,0,15,18,14,15,12,13,19,20,23,22,21,20,18,20,17,15,15,13,9,13,10,2,5,1,6,5,4.0,3,2,3,1,2,0,0,,
2022-03-06 22:00:00,0,0,0,5,0,2,3,5,6,5.0,3,0,3,2,2,0,1,3,2,0,3,0,1,3,4,5,3,2,2,4,3,5,4,3,5,3,0,3,2,0,0,4,3,5,7,8,4,10,7,6,5,4,5,3,2,2,1,0,6,1,6,4,3,3,0,4,3,4,5,6,9,15,16,16,11,8,5,7,8,8,8,10,12,10,13,13,16,20,19,20,19,18,17,15,16,15,13,13,9,12,10,9,5,5,6,14,12,9,8,6,5,4,3.0,4,3,1,2,1,0,0,,
2022-03-06 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,1,3,0,0,4,3,7,4,4,0,4,11,10,5,6,4,3,2,0,1,0,0,3,3,1,2,2,3,0,0,1,2,0,3,5,7,4,3,2,2,1,3,4,3,2,4,5,6,5,5,8,7,9,3,11,11,13,7,16,8,13,14,12,12,11,7,4,3,4,5,3,2,3,4,2,5,0.0,2,2,2,0,0,0,0,,
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,
