Unnamed: 0,1_삼익아파트앞,2_한울중학교,3_남부여성발전센터앞,4_독산동정훈단지,5_독산4동주민센터,6_독산동성당앞,7_남문시장입구,8_남문시장.청춘삘딩,9_독산고개,10_구로디지털단지역(중),11_독산고개,12_독산사거리.한국전력구로금천지사,13_금천우체국.독산1동주민센터,14_독산초등학교,15_독산동정훈단지,16_남부여성발전센터앞,17_한울중학교,18_삼익아파트
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,16,0,17,11,15,18,19,21,20,4,1,0,2,2,0,0,0,0
2022-03-05 06:00:00,8,9,8,11,15,14,16,19,17,9,2,2,3,1,4,3,2,0
2022-03-05 07:00:00,13,14,14,13,15,16,11,19,19,8,5,4,6,5,5,4,2,0
2022-03-05 08:00:00,23,15,23,23,24,18,17,23,24,11,9,8,8,6,6,5,3,0
2022-03-05 09:00:00,17,19,19,26,30,31,33,33,33,9,7,4,4,5,3,4,0,0
2022-03-05 10:00:00,14,16,19,24,25,26,27,29,30,12,4,5,7,6,5,5,2,0
2022-03-05 11:00:00,16,16,15,18,20,22,20,25,23,13,12,12,14,9,10,7,6,0
2022-03-05 12:00:00,12,14,13,13,14,16,17,22,19,17,15,16,20,19,14,13,7,0
2022-03-05 13:00:00,11,10,11,14,19,20,18,21,20,11,11,11,16,14,10,7,5,0
2022-03-05 14:00:00,8,8,11,12,15,14,16,17,18,15,12,4,13,11,11,8,6,0
2022-03-05 15:00:00,12,7,11,19,18,14,16,15,19,33,25,20,16,14,12,10,7,0
2022-03-05 16:00:00,7,8,9,12,12,14,17,19,19,25,21,16,20,16,13,12,7,0
2022-03-05 17:00:00,11,11,11,13,15,13,14,16,17,39,30,26,28,23,23,18,17,0
2022-03-05 18:00:00,6,3,8,8,9,9,9,14,11,29,25,22,24,20,18,13,8,0
2022-03-05 19:00:00,9,3,3,8,6,8,7,9,8,26,20,17,27,26,16,16,11,0
2022-03-05 20:00:00,2,2,3,5,0,4,3,7,6,18,15,16,16,15,17,16,14,0
2022-03-05 21:00:00,3,2,3,4,6,4,7,10,2,25,22,17,23,22,16,14,11,0
2022-03-05 22:00:00,1,2,3,0,5,0,4,6,7,43,39,22,41,20,17,13,12,0
2022-03-05 23:00:00,2,0,0,0,2,0,0,0,0,28,25,21,40,36,32,23,15,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,11,3,0,14,7,8,10,12,8,2,1,0,2,1,1,0,0,0
2022-03-06 06:00:00,6,5,8,10,9,13,6,8,9,4,1,3,2,3,2,1,0,0
2022-03-06 07:00:00,6,7,8,9,10,5,8,10,11,6,4,2,3,1,3,2,1,0
2022-03-06 08:00:00,7,9,10,11,11,11,13,14,14,9,2,0,2,4,3,2,2,0
2022-03-06 09:00:00,10,12,8,17,19,20,12,18,18,7,7,4,6,5,5,3,4,0
2022-03-06 10:00:00,10,16,15,17,16,16,14,17,21,5,5,4,6,4,3,2,3,0
2022-03-06 11:00:00,10,11,12,17,17,16,11,18,16,6,5,4,7,4,4,3,2,0
2022-03-06 12:00:00,11,16,12,14,15,16,16,19,21,10,10,10,10,6,7,5,3,0
2022-03-06 13:00:00,9,10,15,15,15,17,18,18,21,16,15,14,15,16,10,7,5,0
2022-03-06 14:00:00,9,10,11,12,12,13,16,15,16,12,11,8,11,10,10,9,8,0
2022-03-06 15:00:00,8,6,5,9,9,7,8,11,14,15,11,12,14,11,11,9,4,0
2022-03-06 16:00:00,6,7,6,9,9,12,14,15,9,13,12,13,17,15,14,14,9,0
2022-03-06 17:00:00,6,8,7,8,3,9,7,13,8,19,18,12,16,14,13,12,10,0
2022-03-06 18:00:00,11,8,10,11,9,9,8,12,15,18,17,16,20,18,16,15,14,0
2022-03-06 19:00:00,3,3,5,6,8,5,6,6,5,18,15,13,18,13,13,11,7,0
2022-03-06 20:00:00,4,5,0,5,3,6,3,6,9,22,17,14,20,17,16,15,13,0
2022-03-06 21:00:00,4,0,5,5,5,2,5,7,0,17,13,13,18,19,19,17,15,0
2022-03-06 22:00:00,2,0,1,2,2,0,1,4,3,19,20,19,24,21,14,12,11,0
2022-03-06 23:00:00,0,0,0,1,2,1,0,0,0,16,12,10,12,10,12,10,8,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,20,23,25,29,17,20,30,30,26,3,0,2,2,3,2,1,0,0
2022-03-07 06:00:00,21,22,22,25,29,31,31,34,32,4,4,2,4,1,2,1,0,0
2022-03-07 07:00:00,34,37,39,50,52,57,57,59,55,19,15,9,5,4,4,1,0,0
2022-03-07 08:00:00,32,38,38,47,50,53,61,63,53,38,19,13,11,10,8,5,4,0
2022-03-07 09:00:00,29,29,32,32,34,38,41,46,46,16,15,15,9,8,6,4,0,0
2022-03-07 10:00:00,12,13,14,16,17,18,18,22,20,11,8,9,10,5,3,4,1,0
2022-03-07 11:00:00,6,7,6,14,15,7,13,15,17,13,11,11,13,8,8,6,6,0
2022-03-07 12:00:00,8,12,13,16,13,14,14,13,15,11,10,6,15,12,12,9,6,0
2022-03-07 13:00:00,9,6,8,9,9,8,8,12,10,16,12,12,18,15,13,10,8,0
2022-03-07 14:00:00,6,7,8,9,12,11,12,12,7,15,14,15,13,13,8,7,5,0
2022-03-07 15:00:00,6,7,6,10,11,7,6,9,9,27,26,26,22,17,15,12,10,0
2022-03-07 16:00:00,8,9,13,14,15,16,16,15,14,30,25,25,33,30,19,17,14,0
2022-03-07 17:00:00,6,7,8,8,9,5,6,16,17,50,40,37,25,24,21,19,16,0
2022-03-07 18:00:00,6,6,8,8,9,4,9,15,17,44,38,37,46,40,39,31,25,0
2022-03-07 19:00:00,6,7,6,8,6,9,8,12,11,43,37,38,43,41,36,31,20,0
2022-03-07 20:00:00,3,4,3,5,5,7,3,9,6,31,26,25,29,26,23,18,16,0
2022-03-07 21:00:00,3,4,3,3,3,4,5,5,6,27,24,23,29,26,22,19,16,0
2022-03-07 22:00:00,2,0,3,4,0,3,0,3,1,31,29,28,32,29,22,18,13,0
2022-03-07 23:00:00,1,0,0,1,0,0,0,2,1,24,15,14,18,14,13,11,10,7
2022-03-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 05:00:00,20,12,11,23,25,19,18,23,20,3,0,2,3,0,1,0,0,0
2022-03-08 06:00:00,20,18,20,23,24,27,28,29,24,3,6,5,3,3,2,2,0,0
2022-03-08 07:00:00,38,43,43,52,55,58,59,60,52,20,7,7,4,4,3,2,0,0
2022-03-08 08:00:00,29,32,35,41,44,44,56,58,55,26,23,17,10,7,7,5,3,0
2022-03-08 09:00:00,27,26,27,31,36,37,39,40,42,18,17,13,12,6,10,7,6,0
2022-03-08 10:00:00,11,16,15,16,18,23,14,25,22,11,9,5,7,7,5,4,2,0
2022-03-08 11:00:00,13,14,14,13,12,12,11,17,18,8,6,7,10,9,7,5,4,0
2022-03-08 12:00:00,8,9,10,15,16,8,7,14,13,10,7,6,9,10,5,3,2,0
2022-03-08 13:00:00,6,7,7,8,10,11,14,19,11,14,12,11,14,11,10,9,5,0
2022-03-08 14:00:00,7,8,10,12,14,15,15,18,16,10,12,6,11,10,7,6,6,0
2022-03-08 15:00:00,8,5,5,10,10,11,10,10,11,19,15,14,16,13,12,9,4,0
2022-03-08 16:00:00,11,6,8,15,14,13,13,14,16,31,31,29,29,25,19,13,11,0
2022-03-08 17:00:00,5,4,4,7,8,9,8,13,13,24,23,25,31,21,20,16,11,0
2022-03-08 18:00:00,8,9,10,16,16,17,16,24,23,50,45,42,49,37,32,28,22,0
2022-03-08 19:00:00,7,9,5,9,7,9,8,18,18,43,36,37,48,44,32,26,22,0
2022-03-08 20:00:00,5,6,3,5,5,6,4,10,8,31,27,26,34,30,26,22,17,0
2022-03-08 21:00:00,3,0,2,3,0,2,0,6,5,31,26,22,29,27,24,19,18,0
2022-03-08 22:00:00,2,0,0,3,0,3,0,2,2,29,26,25,28,26,23,21,17,0
2022-03-08 23:00:00,1,0,0,1,2,1,0,3,4,28,27,26,25,21,16,12,10,0
2022-03-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 05:00:00,13,3,14,16,7,8,17,19,16,4,0,0,3,4,3,2,0,0
2022-03-09 06:00:00,5,7,9,11,9,13,15,14,13,6,3,3,3,2,1,1,1,0
2022-03-09 07:00:00,8,8,10,12,13,10,13,15,13,9,8,7,8,8,4,2,2,0
2022-03-09 08:00:00,9,10,11,13,16,15,16,15,20,9,7,4,6,4,4,2,3,0
2022-03-09 09:00:00,10,11,11,14,18,20,19,22,23,9,7,6,4,3,3,2,1,0
2022-03-09 10:00:00,9,12,13,17,18,16,16,17,16,8,7,7,9,2,8,6,4,0
2022-03-09 11:00:00,13,18,17,19,20,20,20,19,17,7,8,7,14,13,8,5,4,0
2022-03-09 12:00:00,9,11,11,19,20,20,19,22,19,14,13,13,12,10,11,4,7,0
2022-03-09 13:00:00,9,11,12,16,20,21,22,22,16,11,11,7,15,13,11,8,7,0
2022-03-09 14:00:00,7,9,12,12,11,16,16,18,20,7,5,9,12,10,11,11,9,0
2022-03-09 15:00:00,6,10,9,9,9,6,9,14,11,17,14,12,15,10,10,6,4,0
2022-03-09 16:00:00,7,9,8,12,15,16,10,16,15,25,20,19,24,23,19,14,13,0
2022-03-09 17:00:00,7,9,10,13,14,13,14,19,17,21,21,20,25,22,20,14,12,1
2022-03-09 18:00:00,5,6,5,8,9,8,10,9,11,24,17,18,25,20,16,10,9,0
2022-03-09 19:00:00,6,7,6,7,7,5,8,8,7,18,20,19,30,25,26,23,16,0
2022-03-09 20:00:00,4,4,5,7,9,7,6,9,7,36,35,32,35,27,17,14,10,0
2022-03-09 21:00:00,3,1,0,4,1,1,1,2,1,32,29,26,32,29,22,17,17,0
2022-03-09 22:00:00,1,1,0,2,2,0,1,3,3,24,21,17,21,17,14,10,15,0
2022-03-09 23:00:00,2,0,1,1,0,0,0,2,3,21,21,20,22,20,16,9,7,0
2022-03-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 05:00:00,20,15,19,23,20,24,25,27,20,2,1,3,4,0,3,2,1,0
2022-03-10 06:00:00,19,16,21,24,26,29,30,28,25,13,5,3,4,3,3,2,1,0
2022-03-10 07:00:00,35,41,41,49,51,55,60,59,52,12,10,7,7,6,5,4,3,0
2022-03-10 08:00:00,33,38,43,51,49,54,53,56,49,24,19,15,13,9,8,4,1,0
2022-03-10 09:00:00,21,24,24,32,42,43,42,45,43,12,8,7,11,10,5,4,3,0
2022-03-10 10:00:00,14,15,17,22,22,22,10,20,19,7,8,8,8,5,4,5,4,0
2022-03-10 11:00:00,12,14,18,22,20,11,17,15,14,10,7,7,10,9,9,7,4,0
2022-03-10 12:00:00,8,8,11,10,11,14,16,17,16,10,8,8,11,8,7,6,6,0
2022-03-10 13:00:00,7,6,8,11,13,15,6,17,16,14,13,11,10,10,10,8,6,0
2022-03-10 14:00:00,7,5,7,8,9,10,7,15,8,16,15,12,15,14,13,9,8,0
2022-03-10 15:00:00,6,7,6,11,7,11,11,10,13,17,19,19,20,14,11,8,7,0
2022-03-10 16:00:00,7,9,8,8,7,8,9,7,10,31,27,25,29,24,23,19,13,0
2022-03-10 17:00:00,9,10,11,13,10,12,11,20,18,35,28,24,27,21,21,16,11,0
2022-03-10 18:00:00,9,8,10,13,17,17,8,28,25,42,39,39,48,46,41,32,27,0
2022-03-10 19:00:00,5,6,7,7,7,10,9,13,14,50,46,46,52,46,44,34,24,0
2022-03-10 20:00:00,5,2,2,4,5,4,0,6,5,29,32,30,33,28,29,21,17,0
2022-03-10 21:00:00,2,2,3,4,3,2,2,3,5,28,25,24,28,26,21,19,17,0
2022-03-10 22:00:00,2,0,2,2,0,0,1,2,0,29,20,21,23,21,22,19,11,0
2022-03-10 23:00:00,0,0,1,1,0,1,0,2,1,24,22,14,22,21,15,14,8,0
2022-03-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-11 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-11 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-11 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-11 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-11 05:00:00,23,25,26,30,32,14,31,38,31,2,1,0,2,1,0,0,0,0
2022-03-11 06:00:00,18,19,21,26,28,31,33,33,32,20,6,1,5,4,4,3,2,0
2022-03-11 07:00:00,32,36,38,46,51,53,55,56,49,17,17,16,7,5,3,4,3,0
2022-03-11 08:00:00,26,30,32,41,42,44,46,58,54,29,27,15,13,10,10,7,4,0
2022-03-11 09:00:00,20,22,24,38,39,40,45,50,46,16,7,6,4,5,3,1,0,0
2022-03-11 10:00:00,12,15,16,20,20,22,24,27,29,7,6,4,5,4,4,3,2,0
2022-03-11 11:00:00,9,11,14,18,18,20,20,25,26,16,13,14,16,17,15,14,12,4
2022-03-11 12:00:00,12,15,13,16,15,19,18,19,20,12,12,14,15,14,11,7,6,0
2022-03-11 13:00:00,9,11,10,9,11,13,14,17,16,13,10,7,14,11,10,7,4,0
2022-03-11 14:00:00,6,7,5,11,15,8,16,15,12,18,18,16,19,16,14,11,9,1
2022-03-11 15:00:00,8,6,4,10,11,9,8,8,10,17,16,19,24,21,17,15,14,0
2022-03-11 16:00:00,9,10,12,14,16,16,15,20,22,27,16,15,22,20,17,12,9,0
2022-03-11 17:00:00,8,11,12,13,14,12,11,14,15,39,36,38,41,34,38,33,18,0
2022-03-11 18:00:00,13,6,12,12,10,11,11,19,23,45,44,43,42,36,28,22,19,0
2022-03-11 19:00:00,11,12,13,11,14,15,14,17,13,47,37,38,49,43,42,38,26,0
2022-03-11 20:00:00,5,4,4,5,5,6,5,4,0,26,24,19,30,31,29,23,21,0
2022-03-11 21:00:00,2,2,2,3,3,1,0,3,2,38,36,20,37,31,22,20,15,0
2022-03-11 22:00:00,2,2,2,3,2,1,0,3,2,33,23,23,25,22,17,16,14,0
2022-03-11 23:00:00,1,1,0,2,0,1,0,0,0,30,26,25,24,19,17,12,9,0
2022-03-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-12 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-12 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-12 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-12 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-12 05:00:00,16,9,16,17,13,18,20,29,25,1,2,2,3,2,1,0,0,0
2022-03-12 06:00:00,8,9,9,10,11,12,18,18,17,3,2,3,2,2,3,1,0,0
2022-03-12 07:00:00,14,16,18,10,13,15,16,19,19,7,6,5,7,5,2,1,0,0
2022-03-12 08:00:00,18,20,20,26,27,27,25,29,26,13,9,7,7,5,7,3,2,0
2022-03-12 09:00:00,17,17,17,20,22,21,23,24,24,11,7,7,4,6,6,4,2,0
2022-03-12 10:00:00,16,17,18,22,21,26,25,25,26,13,11,10,8,5,6,4,3,1
2022-03-12 11:00:00,11,13,14,16,19,17,18,22,24,9,8,9,13,13,6,5,3,0
2022-03-12 12:00:00,10,11,13,13,14,16,17,19,21,15,15,14,12,11,12,10,6,0
2022-03-12 13:00:00,12,13,12,14,17,18,13,19,18,16,12,10,12,11,8,7,7,0
2022-03-12 14:00:00,9,11,9,14,17,18,18,22,21,18,14,12,13,12,8,5,4,0
2022-03-12 15:00:00,8,9,10,13,13,17,16,18,24,20,19,17,22,18,14,10,9,0
2022-03-12 16:00:00,11,12,14,15,17,18,10,18,20,37,29,27,17,13,10,8,7,0
2022-03-12 17:00:00,7,8,9,13,11,14,13,15,17,26,23,26,31,29,26,22,17,0
2022-03-12 18:00:00,5,8,7,10,13,12,9,12,12,35,31,29,31,21,19,17,15,0
2022-03-12 19:00:00,9,5,9,8,10,5,11,13,12,25,21,19,30,26,22,17,15,0
2022-03-12 20:00:00,2,1,3,5,6,6,5,6,3,30,29,29,32,29,27,22,11,0
2022-03-12 21:00:00,5,0,3,3,4,3,0,4,0,35,31,30,37,36,31,26,21,0
2022-03-12 22:00:00,2,2,3,3,4,0,0,6,3,26,20,19,24,19,16,20,19,0
2022-03-12 23:00:00,1,1,0,4,0,0,0,1,3,26,23,21,22,19,17,13,12,0
2022-03-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13 05:00:00,7,0,3,9,5,5,5,7,6,1,1,0,3,2,0,0,0,0
2022-03-13 06:00:00,6,6,5,7,5,8,9,7,8,3,0,2,2,2,4,3,2,0
2022-03-13 07:00:00,6,7,8,11,12,13,14,15,10,5,1,2,2,5,4,2,0,0
2022-03-13 08:00:00,9,10,12,16,17,17,17,18,20,6,3,7,2,6,4,2,1,0
2022-03-13 09:00:00,9,11,10,11,15,17,18,23,21,6,5,4,2,4,2,1,0,0
2022-03-13 10:00:00,10,12,13,16,14,14,19,21,20,9,4,1,7,6,8,7,5,0
2022-03-13 11:00:00,9,12,11,13,13,14,13,14,13,6,7,3,9,7,7,5,3,0
2022-03-13 12:00:00,14,19,14,18,18,22,23,23,15,14,10,13,7,8,11,7,6,0
2022-03-13 13:00:00,11,13,15,14,15,14,12,16,16,9,8,9,9,8,9,8,6,0
2022-03-13 14:00:00,7,8,11,12,11,12,11,15,16,14,15,14,12,14,12,9,8,0
2022-03-13 15:00:00,7,9,11,10,14,9,8,13,9,19,15,13,14,12,10,8,5,0
2022-03-13 16:00:00,11,11,13,15,12,12,13,13,14,14,12,5,10,8,9,6,6,0
2022-03-13 17:00:00,8,8,9,8,7,9,8,11,10,19,17,17,18,13,15,17,16,0
2022-03-13 18:00:00,7,7,7,8,9,7,7,12,8,22,16,11,16,16,13,10,9,0
2022-03-13 19:00:00,5,4,6,6,10,6,7,12,13,21,20,14,21,18,12,12,10,0
2022-03-13 20:00:00,4,1,3,3,2,4,0,9,3,20,18,4,17,16,10,9,9,0
2022-03-13 21:00:00,2,2,0,3,2,0,3,4,5,26,21,20,22,21,12,11,7,0
2022-03-13 22:00:00,2,1,3,0,4,0,6,5,6,18,14,14,17,19,19,16,11,0
2022-03-13 23:00:00,1,3,1,4,2,0,1,1,1,12,11,0,13,12,10,8,7,0
2022-03-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14 05:00:00,24,25,9,29,13,30,29,34,29,1,1,2,1,1,1,0,0,0
2022-03-14 06:00:00,20,21,24,30,33,34,38,39,26,6,5,4,4,4,5,0,4,0
2022-03-14 07:00:00,32,36,38,47,51,55,57,57,49,22,19,14,12,3,3,2,1,0
2022-03-14 08:00:00,30,33,34,45,51,49,51,58,51,36,24,16,12,10,8,4,1,0
2022-03-14 09:00:00,17,19,21,27,31,32,36,39,40,11,10,9,7,3,6,3,1,0
2022-03-14 10:00:00,11,15,13,17,19,18,20,19,18,10,10,7,11,8,5,4,2,0
2022-03-14 11:00:00,8,11,12,13,9,11,12,14,16,16,12,10,11,9,9,5,4,0
2022-03-14 12:00:00,8,10,11,12,12,12,13,15,13,9,7,6,9,9,8,5,4,0
2022-03-14 13:00:00,8,5,5,7,11,10,10,13,11,12,11,9,12,12,11,7,5,0
2022-03-14 14:00:00,6,5,8,9,9,10,11,10,7,12,12,9,10,8,8,7,6,0
2022-03-14 15:00:00,7,3,6,6,7,7,6,9,8,16,16,12,17,13,11,10,8,0
2022-03-14 16:00:00,9,10,11,10,13,12,11,12,9,26,21,19,23,21,20,19,14,0
2022-03-14 17:00:00,6,5,5,7,8,6,8,11,8,23,23,22,26,21,17,15,13,0
2022-03-14 18:00:00,9,4,8,8,7,8,8,17,18,49,42,43,47,41,33,24,18,0
2022-03-14 19:00:00,6,4,7,9,10,9,11,15,13,48,46,36,50,43,35,30,23,0
2022-03-14 20:00:00,4,4,3,2,1,3,3,4,2,41,35,32,35,33,27,23,20,0
2022-03-14 21:00:00,3,0,2,4,0,0,0,2,0,25,22,22,28,24,20,20,16,0
2022-03-14 22:00:00,1,2,2,1,0,0,0,1,4,34,25,24,26,24,17,15,13,0
2022-03-14 23:00:00,1,1,0,0,0,2,0,2,1,22,20,19,14,13,11,9,7,0
2022-03-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15 05:00:00,26,27,9,28,14,15,28,33,29,2,3,3,3,4,3,1,0,0
2022-03-15 06:00:00,20,22,23,29,31,22,33,35,30,24,5,3,3,3,2,2,0,0
2022-03-15 07:00:00,34,37,41,49,50,54,54,56,54,18,7,5,7,6,6,2,1,0
2022-03-15 08:00:00,29,33,33,40,44,48,57,58,52,39,29,21,11,9,6,4,1,0
2022-03-15 09:00:00,16,18,19,29,34,38,37,39,36,13,12,12,10,5,7,3,2,0
2022-03-15 10:00:00,10,11,12,15,18,20,18,18,16,8,9,8,6,5,6,6,4,0
2022-03-15 11:00:00,7,12,11,12,14,14,17,18,17,10,10,7,8,7,7,4,3,0
2022-03-15 12:00:00,7,8,10,11,13,14,12,15,15,12,10,12,12,11,8,7,4,0
2022-03-15 13:00:00,9,11,12,13,14,15,10,19,18,17,13,12,10,7,7,6,5,0
2022-03-15 14:00:00,7,10,5,7,6,7,7,13,11,17,12,11,10,9,8,7,5,0
2022-03-15 15:00:00,7,8,11,11,11,10,6,12,13,22,19,18,20,19,12,10,5,0
2022-03-15 16:00:00,6,9,9,13,11,12,11,14,13,28,23,24,26,21,17,14,13,0
2022-03-15 17:00:00,5,6,8,9,11,11,11,19,11,42,22,23,26,24,20,15,13,0
2022-03-15 18:00:00,10,7,12,12,13,15,15,21,22,50,43,38,48,46,41,34,20,0
2022-03-15 19:00:00,5,5,4,7,5,9,11,16,14,49,42,40,40,36,33,32,25,0
2022-03-15 20:00:00,3,1,2,3,3,4,1,10,7,31,28,26,28,25,23,20,15,0
2022-03-15 21:00:00,2,1,0,4,0,1,0,4,4,34,31,30,35,29,29,25,18,0
2022-03-15 22:00:00,3,2,2,1,0,1,0,4,3,40,33,34,32,29,20,15,12,7
2022-03-15 23:00:00,2,0,0,3,0,0,0,2,3,22,20,21,24,21,16,14,11,0
2022-03-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-16 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-16 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-16 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-16 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-16 05:00:00,27,10,11,28,17,19,27,24,23,2,3,3,4,3,4,1,0,0
2022-03-16 06:00:00,18,21,22,26,26,22,28,30,22,6,5,4,3,2,2,1,1,0
2022-03-16 07:00:00,32,37,38,48,54,55,56,55,51,13,7,6,9,8,7,6,2,0
2022-03-16 08:00:00,28,33,34,41,44,43,46,55,53,33,21,13,9,7,5,4,3,0
2022-03-16 09:00:00,16,16,18,31,35,38,42,51,34,10,13,8,7,5,4,2,0,0
2022-03-16 10:00:00,9,12,15,22,27,28,27,29,25,13,12,11,9,6,6,4,1,0
2022-03-16 11:00:00,15,16,9,16,16,15,8,15,16,8,7,6,10,7,6,6,5,0
2022-03-16 12:00:00,10,9,8,13,15,10,16,15,14,12,13,12,11,10,7,5,5,0
2022-03-16 13:00:00,8,7,9,11,13,11,9,14,11,16,15,14,15,14,12,8,7,0
2022-03-16 14:00:00,9,12,12,9,9,10,9,10,9,13,10,11,12,10,8,8,7,0
2022-03-16 15:00:00,6,9,8,11,7,10,9,10,11,16,16,14,18,15,12,9,6,0
2022-03-16 16:00:00,5,7,8,11,13,12,13,17,14,30,26,23,26,23,21,14,12,0
2022-03-16 17:00:00,6,8,11,12,13,13,12,22,21,37,33,34,40,35,27,22,18,0
2022-03-16 18:00:00,6,9,6,11,14,16,15,22,21,46,43,39,47,41,34,26,19,0
2022-03-16 19:00:00,6,4,6,7,8,12,12,16,14,42,39,39,47,44,39,32,26,0
2022-03-16 20:00:00,1,1,1,3,3,0,2,6,2,25,31,26,30,26,25,23,19,0
